artist,bpm,title,genre
13th Floor Elevators,147,Slip Inside This House,Psychedelic Rock
13th Floor Elevators,127,Slide Machine,Psychedelic Rock
13th Floor Elevators,154,She Lives (In a Time of Her Own),Psychedelic Rock
13th Floor Elevators,145,Nobody to Love,Psychedelic Rock
13th Floor Elevators,96,(It’s All Over Now) Baby Blue,Psychedelic Rock
13th Floor Elevators,139,Earthquake,Psychedelic Rock
13th Floor Elevators,102,Dust,Psychedelic Rock
13th Floor Elevators,158,Levitation,Psychedelic Rock
13th Floor Elevators,123,I Had to Tell You,Psychedelic Rock
13th Floor Elevators,110,Postures (Leave Your Body Behind),Psychedelic Rock
13th Floor Elevators,95,(It’s All Over Now) Baby Blue,Psychedelic Rock
13th Floor Elevators,156,Levitation,Psychedelic Rock
13th Floor Elevators,126,Fire in My Bones (outtake),Psychedelic Rock
13th Floor Elevators,138,Fire Engine,Psychedelic Rock
13th Floor Elevators,129,Livin' On,Psychedelic Rock
13th Floor Elevators,128,Reverberation (Doubt),Psychedelic Rock
13th Floor Elevators,138,Tried to Hide,Psychedelic Rock
13th Floor Elevators,160,Scarlet and Gold,Psychedelic Rock
13th Floor Elevators,121,You Don't Know,Psychedelic Rock
13th Floor Elevators,164,I Don't Ever Want to Come Down,Psychedelic Rock
13th Floor Elevators,104,Splash 1,Psychedelic Rock
13th Floor Elevators,164,Gloria (live),Psychedelic Rock
13th Floor Elevators,159,The Rose and the Thorn,Psychedelic Rock
13th Floor Elevators,94,Baby Blue,Psychedelic Rock
13th Floor Elevators,125,May the Circle Remain Unbroken,Psychedelic Rock
50 Cent,0,In Da Club,Pop
The 6ths,102,As You Turn to Go,Indie Pop
The 6ths,110,You You You You You,Indie Pop
79.5,0,Terrorize My Heart (Disco Dub),Soul
[anonymous],125,Folias criollas (improvisation),Baroque
[anonymous],103,Folias antiguas (ca. 1500),Baroque
The Abyssinians,150,Thunderstorm,Reggae
The Abyssinians,150,Mandela Version,Reggae
The Abyssinians,130,African Dub,Reggae
The Abyssinians,124,I 'n' I Dub,Reggae
The Abyssinians,132,Good Lord Dub,Reggae
The Abyssinians,125,Know Jah Dub,Reggae
The Abyssinians,133,Y Mas Gan Dub,Reggae
The Abyssinians,148,Jah Loves Dub,Reggae
The Abyssinians,137,Zion I Dub,Reggae
The Abyssinians,135,Peculiar Dub,Reggae
The Abyssinians,132,Meditation Dub,Reggae
The Abyssinians,130,Dem A Dub,Reggae
The Abyssinians,163,There Is No Dub,Reggae
The Abyssinians,149,Mandela,Reggae
The Abyssinians,158,"Mandela, Part 2",Reggae
Acetone,0,Plain as Your Eyes Can See,Soul
The Acorn,0,Hold Your Breath,Rock
The Acorn,0,"Flood, Part 1",Rock
The Acorn,0,Even While You’re Sleeping,Rock
The Acorn,0,Crooked Legs,Rock
The Acorn,0,Glory,Rock
The Acorn,0,Oh Napoleon,Rock
The Acorn,0,Low Gravity,Rock
The Acorn,0,Sister Margaret,Rock
The Acorn,0,Antenna,Rock
The Acorn,0,Plateau Ramble,Rock
The Acorn,0,"Flood, Part 2",Rock
The Acorn,0,Lullabye (Mountain),Rock
Cannonball Adderley,110,Autumn Leaves,Jazz
Cannonball Adderley,88,Love for Sale,Jazz
Cannonball Adderley,154,Somethin’ Else,Jazz
Cannonball Adderley,107,One for Daddy‐O,Jazz
Cannonball Adderley,100,Dancing in the Dark,Jazz
Cannonball Adderley,104,Bangoon,Jazz
The Cannonball Adderley Quintet feat. Nat Adderley,170,Work Song,
The Cannonball Adderley Quintet feat. Nat Adderley,102,Jeannine,
The Cannonball Adderley Quintet feat. Nat Adderley,130,Easy Living,
The Cannonball Adderley Quintet feat. Nat Adderley,139,Them Dirty Blues,
The Cannonball Adderley Quintet feat. Nat Adderley,131,Dat Dere,
The Cannonball Adderley Quintet feat. Nat Adderley,113,Del Sasser,
The Cannonball Adderley Quintet feat. Nat Adderley,85,Soon,
The Cannonball Adderley Quintet feat. Nat Adderley,157,Work Song (alternate version),
The Cannonball Adderley Quintet feat. Nat Adderley,131,Dat Dere (alternate take),
Admiral Bailey,0,Punnany,Dub
Admiral Bailey & Chaka Demus,0,One Scotch,Dub
Against Me!,143,New Wave,Punk Rock
Against Me!,81,Up the Cuts,Punk Rock
Against Me!,124,Thrash Unreal,Punk Rock
Against Me!,157,White People for Peace,Punk Rock
Against Me!,118,Stop!,Punk Rock
Against Me!,126,Borne on the FM Waves of the Heart,Punk Rock
Against Me!,126,Piss and Vinegar,Punk Rock
Against Me!,126,Americans Abroad,Punk Rock
Against Me!,172,Animal,Punk Rock
Against Me!,104,The Ocean,Punk Rock
Air,0,La Femme d’argent,Electronic
Air,0,Sexy Boy,Electronic
Air,0,All I Need,Electronic
Air,0,"Kelly, Watch the Stars!",Electronic
Air,0,Talisman,Electronic
Air,0,Remember,Electronic
Air,0,You Make It Easy,Electronic
Air,0,Ce matin-là,Electronic
Air,0,New Star in the Sky (Chanson pour Solal),Electronic
Air,0,Le Voyage de Pénélope,Electronic
Airiel,0,Jeanette,Dream Pop
Airiel,0,Sharron Apple,Dream Pop
Airiel,0,Firefly,Dream Pop
Airiel,0,In Your Room,Dream Pop
Alabama Shakes,0,Hold On,Blues
Alabama Shakes,0,I Found You,Blues
Alabama Shakes,0,Hang Loose,Blues
Alabama Shakes,0,Rise to the Sun,Blues
Alabama Shakes,0,You Ain’t Alone,Blues
Alabama Shakes,0,Goin’ to the Party,Blues
Alabama Shakes,0,Heartbreaker,Blues
Alabama Shakes,0,Boys & Girls,Blues
Alabama Shakes,0,Be Mine,Blues
Alabama Shakes,0,I Ain’t the Same,Blues
Alabama Shakes,0,On Your Way,Blues
Alabama Shakes,0,Hang Loose (live at KCRW),Blues
Alabama Shakes,0,I Found You (live at KCRW),Blues
Alabama Shakes,0,Be Mine (live at KCRW),Blues
Alabama Shakes,0,I Ain’t the Same (live at KCRW),Blues
Alabama Shakes,0,Mama (live at KCRW),Blues
Alabama Shakes,0,Goin’ to the Party (live at KCRW),Blues
Alabama Shakes,0,Hold On (live at KCRW),Blues
Alabama Shakes,0,Boys & Girls (live at KCRW),Blues
Alabama Shakes,0,Always Alright (live at KCRW),Blues
Alabama Shakes,0,Rise to the Sun (live at KCRW),Blues
Alabama Shakes,0,Heavy Chevy (live at KCRW),Blues
Damon Albarn,138,Everyday Robots,Electronic
Damon Albarn,100,Hostiles,Electronic
Damon Albarn,130,Lonely Press Play,Electronic
Damon Albarn,183,Mr Tembo,Electronic
Damon Albarn,145,Parakeet,Electronic
Damon Albarn,113,The Selfish Giant,Electronic
Damon Albarn,130,You & Me,Electronic
Damon Albarn,139,Hollow Ponds,Electronic
Damon Albarn,85,Seven High,Electronic
Damon Albarn,98,Photographs (You Are Taking Now),Electronic
Damon Albarn,104,The History of a Cheating Heart,Electronic
Damon Albarn,104,Heavy Seas of Love,Electronic
Damon Albarn,0,"The Nearer the Fountain, More Pure the Stream Flows",Electronic
Damon Albarn,0,The Cormorant,Electronic
Damon Albarn,0,Royal Morning Blue,Electronic
Damon Albarn,0,Combustion,Electronic
Damon Albarn,0,Daft Wader,Electronic
Damon Albarn,0,Darkness to Light,Electronic
Damon Albarn,0,Esja,Electronic
Damon Albarn,0,The Tower of Montevideo,Electronic
Damon Albarn,0,Giraffe Trumpet Sea,Electronic
Damon Albarn,0,Polaris,Electronic
Damon Albarn,0,Particles,Electronic
Henrico Albicastro,114,Sonata “La Follia” (1704),Baroque
Alexander O'Neal,104,Never Knew Love Like This,Pop
Alice in Chains,0,We Die Young,Grunge
Alice in Chains,0,Man in the Box,Grunge
Alice in Chains,0,Sea of Sorrow,Grunge
Alice in Chains,0,Bleed the Freak,Grunge
Alice in Chains,0,I Can’t Remember,Grunge
Alice in Chains,0,"Love, Hate, Love",Grunge
Alice in Chains,0,It Ain’t Like That,Grunge
Alice in Chains,0,Sunshine,Grunge
Alice in Chains,0,Put You Down,Grunge
Alice in Chains,0,Confusion,Grunge
Alice in Chains,0,I Know Somethin (Bout You),Grunge
Alice in Chains,0,Real Thing,Grunge
Alice in Chains,105,Man in the Box,Grunge
Alice in Chains,165,Them Bones,Grunge
Alice in Chains,142,Rooster,Grunge
Alice in Chains,104,Angry Chair,Grunge
Alice in Chains,210,Would?,Grunge
Alice in Chains,117,No Excuses,Grunge
Alice in Chains,168,I Stay Away,Grunge
Alice in Chains,88,Grind,Grunge
Alice in Chains,112,Heaven Beside You,Grunge
Alice in Chains,123,Again,Grunge
All Them Witches,0,Funeral for a Great Drunken Bird,Rock
All Them Witches,0,When God Comes Back,Rock
All Them Witches,0,The Marriage of Coyote Woman,Rock
All Them Witches,0,Swallowed by the Sea,Rock
All Them Witches,0,Charles William,Rock
All Them Witches,0,The Death of Coyote Woman,Rock
All Them Witches,0,Romany Dagger,Rock
All Them Witches,0,Mountain,Rock
All Them Witches,0,Romany Dagger (Remended),Rock
All Them Witches,0,Surface-To-Air Whistle,Rock
Allah-Las,122,Catamaran,Garage Rock
Allah-Las,119,Don't You Forget It,Garage Rock
Allah-Las,132,Busman's Holiday,Garage Rock
Allah-Las,130,Sacred Sands,Garage Rock
Allah-Las,127,No Voodoo,Garage Rock
Allah-Las,123,Sandy,Garage Rock
Allah-Las,129,Ela Navega,Garage Rock
Allah-Las,127,Tell Me (What's on Your Mind),Garage Rock
Allah-Las,121,Catalina,Garage Rock
Allah-Las,125,Vis-à-vis,Garage Rock
Allah-Las,120,Seven Point Five,Garage Rock
Allah-Las,105,Long Journey,Garage Rock
Allah-Las,0,Holding Pattern,Garage Rock
Allah-Las,0,Keeping Dry,Garage Rock
Allah-Las,0,In the Air,Garage Rock
Allah-Las,0,Prazer em te conhecer,Garage Rock
Allah-Las,0,Roco Ono,Garage Rock
Allah-Las,0,Star,Garage Rock
Allah-Las,0,Royal Blues,Garage Rock
Allah-Las,0,Electricity,Garage Rock
Allah-Las,0,Light Yearly,Garage Rock
Allah-Las,0,Polar Onion,Garage Rock
Allah-Las,0,On Our Way,Garage Rock
Allah-Las,0,Houston,Garage Rock
Allah-Las,0,Pleasure,Garage Rock
Allah-Las,189,De Vida Voz,Garage Rock
Allah-Las,118,Had It All,Garage Rock
Allah-Las,121,Artifact,Garage Rock
Allah-Las,132,Ferus Gallery,Garage Rock
Allah-Las,124,Recurring,Garage Rock
Allah-Las,100,Nothing to Hide,Garage Rock
Allah-Las,124,Buffalo Nickel,Garage Rock
Allah-Las,124,Follow You Down,Garage Rock
Allah-Las,117,501-415,Garage Rock
Allah-Las,124,Yemeni Jade,Garage Rock
Allah-Las,124,Worship the Sun,Garage Rock
Allah-Las,93,Better Than Mine,Garage Rock
Allah-Las,135,No Werewolf,Garage Rock
Allah-Las,131,Every Girl,Garage Rock
Roland Alphonso,0,Roll on Charles Street,Ska
Roland Alphonso,0,Almost Like Being in Love,Ska
Altın Gün,0,Yolcu,Indie Rock
Altın Gün,0,Vay Dünya,Indie Rock
Altın Gün,0,Leyla,Indie Rock
Altın Gün,0,Anlatmam Derdimi,Indie Rock
Altın Gün,0,Şoför Bey,Indie Rock
Altın Gün,0,Derdimi Dökersem,Indie Rock
Altın Gün,0,Kolbastı,Indie Rock
Altın Gün,0,Ervah-ı Ezelde,Indie Rock
Altın Gün,0,Gesi Bağları,Indie Rock
Altın Gün,0,Süpürgesi Yoncadan,Indie Rock
Altın Gün,104,Tatlı Diller Güler Yüze,Psychedelic Rock
Altın Gün,198,Kırşehirin Gülleri,Psychedelic Rock
Altın Gün,97,Goca Dünya,Psychedelic Rock
Altın Gün,109,Halkalı Şeker,Psychedelic Rock
Altın Gün,0,Caney,Psychedelic Rock
Altın Gün,102,Şad Olup Gülmedim,Psychedelic Rock
Altın Gün,137,Cemalım,Psychedelic Rock
Altın Gün,198,Çiçekler Ekiliyor,Psychedelic Rock
Altın Gün,182,Kaymakamın Kızları,Psychedelic Rock
Altın Gün,97,Şeker Oğlan,Psychedelic Rock
Alvvays,0,Adult Diversion,Indie Pop
Alvvays,0,"Archie, Marry Me",Indie Pop
Alvvays,0,Ones Who Love You,Indie Pop
Alvvays,0,Next of Kin,Indie Pop
Alvvays,0,Party Police,Indie Pop
Alvvays,0,The Agency Group,Indie Pop
Alvvays,0,Dives,Indie Pop
Alvvays,0,Atop a Cake,Indie Pop
Alvvays,0,Red Planet,Indie Pop
Amadou & Mariam,109,M’bifé,World Music
Amadou & Mariam,109,M’bifé balafon,World Music
Amadou & Mariam,110,Coulibaly,World Music
Amadou & Mariam,132,La Réalité,World Music
Amadou & Mariam,164,Sénégal Fast Food,World Music
Amadou & Mariam,109,Artistiya,World Music
Amadou & Mariam,132,La Fête au village,World Music
Amadou & Mariam,164,Camions sauvages,World Music
Amadou & Mariam,109,Beaux Dimanches,World Music
Amadou & Mariam,129,La Paix,World Music
Amadou & Mariam,160,Djanfa,World Music
Amadou & Mariam,111,Taxi Bamako,World Music
Amadou & Mariam,98,Politic amagni,World Music
Amadou & Mariam,102,Gnidjougouya,World Music
Amadou & Mariam,118,M’bifé Blues,World Music
Rodrigo Amarante,0,Nada em vão,Soft Rock
Rodrigo Amarante,0,Hourglass,Soft Rock
Rodrigo Amarante,0,Mon nom,Soft Rock
Rodrigo Amarante,0,Irene,Soft Rock
Rodrigo Amarante,0,Maná,Soft Rock
Rodrigo Amarante,0,Fall asleep,Soft Rock
Rodrigo Amarante,0,The ribbon,Soft Rock
Rodrigo Amarante,0,O cometa,Soft Rock
Rodrigo Amarante,0,Cavalo,Soft Rock
Rodrigo Amarante,0,I'm ready,Soft Rock
Rodrigo Amarante,0,Tardei,Soft Rock
Rodrigo Amarante,0,Drama,Mpb
Rodrigo Amarante,0,Maré,Mpb
Rodrigo Amarante,0,Tango,Mpb
Rodrigo Amarante,0,Tara,Mpb
Rodrigo Amarante,0,Tanto,Mpb
Rodrigo Amarante,0,I Can't Wait,Mpb
Rodrigo Amarante,0,Tao,Mpb
Rodrigo Amarante,0,Sky Beneath,Mpb
Rodrigo Amarante,0,Eu Com Você,Mpb
Rodrigo Amarante,0,Um Milhão,Mpb
Rodrigo Amarante,0,The End,Mpb
Rodrigo Amarante,112,Tuyo,Mpb
Fèqadu Amdè‐Mesqel,172,Asmarina (My Asmara),Jazz
The American Analog Set,0,Camp Don’t Count,Indie Rock
The American Analog Set,0,Screaming for Vengeance,Indie Rock
The American Analog Set,0,Konika & Maliko,Indie Rock
The American Analog Set,0,Over the Jeans,Indie Rock
The American Analog Set,0,Long Limbs,Indie Rock
The American Analog Set,0,By the Bridle,Indie Rock
The American Analog Set,0,For Forever,Indie Rock
The American Analog Set,0,Mick Turner,Indie Rock
The American Analog Set,0,The Quiet Dark,Indie Rock
The American Analog Set,0,Gin Shakes,Indie Rock
The American Analog Set,0,Mountain,Indie Rock
The American Analog Set,0,Magnificent Seventies,Indie Rock
The American Analog Set,0,Using the Hope Diamond as a Doorstop,Indie Rock
The American Analog Set,0,Blue Chaise,Indie Rock
The American Analog Set,0,Where Have All the Good Boys Gone,Indie Rock
The American Analog Set,0,White House,Indie Rock
The American Analog Set,0,Two Way Diamond I,Indie Rock
The American Analog Set,0,Two Way Diamond II,Indie Rock
The American Analog Set,0,Don't Wake Me,Indie Rock
Vicente Amigo,120,De mi corazón al aire,Flamenco
Vicente Amigo,158,Reino de Silia,Flamenco
Vicente Amigo,134,"""Gitano"" de Lucia",Flamenco
Vicente Amigo,124,Morente,Flamenco
Vicente Amigo,170,Maestro Sanlucar,Flamenco
Vicente Amigo,157,Callejón de la luna,Flamenco
Vicente Amigo,125,Morao,Flamenco
Vicente Amigo,117,Tio Arango,Flamenco
AMWE,119,Friction Between the Lovers,Electronic
Amyl and the Sniffers,0,Starfire 500,Punk Rock
Amyl and the Sniffers,0,Gacked on Anger,Punk Rock
Amyl and the Sniffers,0,Cup of Destiny,Punk Rock
Amyl and the Sniffers,0,GFY,Punk Rock
Amyl and the Sniffers,0,Angel,Punk Rock
Amyl and the Sniffers,0,Monsoon Rock,Punk Rock
Amyl and the Sniffers,0,Control,Punk Rock
Amyl and the Sniffers,0,Got You,Punk Rock
Amyl and the Sniffers,0,Punisha,Punk Rock
Amyl and the Sniffers,0,Shake Ya,Punk Rock
Amyl and the Sniffers,0,Some Mutts (Can’t Be Muzzled),Punk Rock
Amyl and the Sniffers,0,Jerkin’,Garage Rock
Amyl and the Sniffers,0,Chewing Gum,Garage Rock
Amyl and the Sniffers,0,Tiny Bikini,Garage Rock
Amyl and the Sniffers,0,Big Dreams,Garage Rock
Amyl and the Sniffers,0,It’s Mine,Garage Rock
Amyl and the Sniffers,0,Motorbike Song,Garage Rock
Amyl and the Sniffers,0,Doing in Me Head,Garage Rock
Amyl and the Sniffers,0,Pigs,Garage Rock
Amyl and the Sniffers,0,Bailing on Me,Garage Rock
Amyl and the Sniffers,0,U Should Not Be Doing That,Garage Rock
Amyl and the Sniffers,0,Do It Do It,Garage Rock
Amyl and the Sniffers,0,Going Somewhere,Garage Rock
Amyl and the Sniffers,0,Me and the Girls,Garage Rock
Anchorsong,0,Butterflies,Downtempo
Animal Collective,0,Native Belle,Electronic
Animal Collective,0,Hey Light,Electronic
Animal Collective,0,Infant Dressing Table,Electronic
Animal Collective,0,Panic,Electronic
Animal Collective,0,Two Sails on a Sound,Electronic
Animal Collective,0,Slippi,Electronic
Animal Collective,0,Too Soon,Electronic
